CustomerID,Recency,Frequency,Monetary,R_score,F_score,M_score,RFM_score,Segment
12346,164,1,77183.6,1,1,5,7,Low Value
12347,22,71,1494.16,4,4,5,13,High Value
12348,87,11,594.44,2,1,3,6,Low Value
12350,149,17,334.4,1,2,2,5,Lost
12352,101,38,1561.81,2,3,5,10,Medium Value
12353,43,4,89.0,3,1,1,5,Lost
12354,71,58,1079.4,2,4,4,10,Medium Value
12355,53,13,459.4,3,2,3,8,Low Value
12356,84,57,2753.08,2,4,5,11,Medium Value
12359,28,143,3495.73,4,5,5,14,High Value
12360,39,45,1083.58,3,4,4,11,Medium Value
12361,126,10,189.9,1,1,1,3,Lost
12362,64,56,974.34,2,4,4,10,Medium Value
12363,81,16,299.1,2,2,2,6,Low Value
12365,130,22,641.38,1,3,3,7,Low Value
12370,113,48,938.39,1,4,4,9,Medium Value
12372,51,39,914.9200000000001,3,4,4,11,Medium Value
12373,150,14,364.6,1,2,3,6,Low Value
12377,154,34,626.6,1,3,3,7,Low Value
12379,9,20,459.84,5,2,3,10,Medium Value
12380,24,36,607.5500000000001,4,3,3,10,Medium Value
12383,23,62,1249.84,4,4,4,12,High Value
12386,176,2,143.0,1,1,1,3,Lost
12388,114,35,766.25,1,3,4,8,Low Value
12393,84,39,1061.1000000000001,2,4,4,10,Medium Value
12394,56,21,381.08,3,2,3,8,Low Value
12395,1,58,1053.7,5,4,4,13,High Value
12399,22,47,899.03,4,4,4,12,High Value
12401,142,5,84.3,1,1,1,3,Lost
12402,162,11,225.6,1,1,2,4,Lost
12406,22,49,1621.25,4,4,5,13,High Value
12407,74,27,495.96,2,3,3,8,Low Value
12408,14,65,1491.77,5,4,5,14,High Value
12409,21,64,6207.08,4,4,5,13,High Value
12410,147,26,693.3299999999999,1,3,4,8,Low Value
12412,8,28,514.5,5,3,3,11,Medium Value
12413,75,28,563.9,2,3,3,8,Low Value
12414,56,18,562.41,3,2,3,8,Low Value
12415,16,415,74310.71,5,5,5,15,High Value
12417,26,81,1606.93,4,5,5,14,High Value
12421,12,25,396.8,5,3,3,11,Medium Value
12422,7,31,655.86,5,3,3,11,Medium Value
12423,30,80,1213.76,4,5,4,13,High Value
12424,1,30,1760.96,5,3,5,13,High Value
12426,33,30,582.73,4,3,3,10,Medium Value
12428,81,235,6310.54,2,5,5,12,High Value
12429,11,50,1563.38,5,4,5,14,High Value
12431,39,107,2384.58,3,5,5,13,High Value
12432,9,76,4016.66,5,5,5,15,High Value
12434,99,16,286.25,2,2,2,6,Low Value
12435,106,19,3978.9900000000002,2,2,5,9,Medium Value
12437,16,88,2476.73,5,5,5,15,High Value
12444,10,90,1870.2,5,5,5,15,High Value
12447,82,26,476.49,2,3,3,8,Low Value
12449,26,48,858.9300000000001,4,4,4,12,High Value
12450,12,6,101.88,5,1,1,7,Low Value
12451,57,195,5307.82,3,5,5,13,High Value
12455,28,55,1963.3,4,4,5,13,High Value
12456,93,41,940.1700000000001,2,4,4,10,Medium Value
12457,72,26,1067.25,2,3,4,9,Medium Value
12458,123,19,441.92,1,2,3,6,Low Value
12462,142,40,762.11,1,4,4,9,Medium Value
12463,14,61,985.79,5,4,4,13,High Value
12464,39,15,544.8499999999999,3,2,3,8,Low Value
12465,8,26,440.94,5,3,3,11,Medium Value
12468,26,38,729.5400000000001,4,3,4,11,Medium Value
12471,49,103,4522.96,3,5,5,13,High Value
12472,18,136,2684.2,4,5,5,14,High Value
12473,30,34,661.6899999999999,4,3,3,10,Medium Value
12474,5,177,3191.14,5,5,5,15,High Value
12476,57,83,2432.65,3,5,5,13,High Value
12477,78,109,4576.97,2,5,5,12,High Value
12480,106,77,1587.27,2,5,5,12,High Value
12481,18,134,3293.92,4,5,5,14,High Value
12483,22,39,1314.6100000000001,4,4,5,13,High Value
12484,15,159,2276.66,5,5,5,15,High Value
12489,175,15,334.93,1,2,2,5,Lost
12490,11,80,1679.78,5,5,5,15,High Value
12493,4,22,433.74,5,3,3,11,Medium Value
12494,35,37,653.09,4,3,3,10,Medium Value
12500,7,27,1395.8400000000001,5,3,5,13,High Value
12501,175,149,2169.39,1,5,5,11,Medium Value
12502,56,77,1842.65,3,5,5,13,High Value
12506,71,23,73.5,2,3,1,6,Low Value
12507,137,13,446.16,1,2,3,6,Low Value
12509,123,7,176.5,1,1,1,3,Lost
12510,164,29,681.05,1,3,4,8,Low Value
12514,106,51,1017.68,2,4,4,10,Medium Value
12516,19,13,583.2,4,2,3,9,Medium Value
12517,29,132,749.7,4,5,4,13,High Value
12520,43,102,1697.56,3,5,5,13,High Value
12523,91,32,500.19,2,3,3,8,Low Value
